키워드,빈도수
피우다,157
발사,157
폴란드,157
입법,157
자전거,157
국위,157
등장,157
크나크다,156
드높다,156
차기,156
학자,156
처벌,156
베를린,156
일찌기,156
전복,155
골고루,155
정지,155
불의,155
기업체,155
언론인,155
변경,155
거세다,155
출산,155
전폭,154
구제,154
추석,154
잿더미,154
퍼지다,154
실효,154
우위,154
쌓이다,153
교란,153
협의회,153
상공,153
소방,152
연마,152
연료,152
앞길,152
패러다임,152
중심지,152
항구,152
제전,152
견인차,152
진취,152
면하다,152
구별,152
갈라지다,152
방어,152
성적,152
제약,152
만반,151
의장국,151
입시,151
표하다,151
경하,151
군경,151
수리,150
한류,150
활기,150
닥치다,150
훌륭하다,150
위축,150
초과,150
집약,150
주로,150
명랑,150
클린턴,150
자꾸,150
대출,149
국론,149
안보리,149
전도,149
가령,149
이룩하다,149
당당히,149
견디다,149
획득,149
지평,149
수난,149
칠레,149
무릅쓰다,149
약간,149
충돌,149
따로,149
전념,149
가동,149
정전,148
육군,148
아우르다,148
충남,148
종전,148
제조,147
기념사,147
장치,147
위대하다,147
쟁취,147
변모,147
원리,147
비율,147
수산업,147
발돋움,147
불만,147
실상,147
격퇴,147
국면,147
현행,147
무모,146
봉쇄,146
정계,146
방치,146
문민,146
대량,146
