키워드,빈도수
못지않다,286
임직원,286
만일,285
다자,285
문제점,285
발달,285
산림,284
철강,284
호남,283
포항,283
출산,283
원리,283
막강,283
한류,283
현지,283
어머니,282
전북,282
권익,282
여망,282
외화,282
친선,282
교육자,282
아동,281
일층,281
해상,281
활발히,280
받들다,280
지급,280
기술자,280
뉴질랜드,280
실제,280
총화,280
직원,279
완료,279
적십자,279
논리,279
취지,279
한국판,278
남다르다,278
양보,278
한민족,277
경남,277
파리,277
다각,276
안팎,276
총장,276
일찍이,275
경제력,275
상반기,275
동의,275
허브,275
책임감,275
폐쇄,275
신규,275
시위,275
광역,274
사회주의,274
분기,274
통계,274
국방력,274
고국,274
부흥,274
지켜보다,274
대출,273
자제,273
졸업식,273
근거,273
오염,272
여정,272
천명,272
사무총장,272
국산,272
환율,272
모스크바,271
귀하,271
자기,271
관점,271
정화,270
영농,270
대체,269
추석,269
영토,269
바쁘다,268
숫자,268
편안,268
기필코,268
심의,268
비약,268
물건,267
지난달,267
입시,267
비율,266
직후,266
그린,266
유감,266
리더십,265
대남,265
아시안,265
연속,265
줄어들다,265
비료,265
악화,265
당초,264
혼자,264
낮추다,264
자존,264
독자,263
활약,263
발사,263
자각,263
분담,263
민자당,262
반면,262
진정하다,262
아까,262
공포,262
간첩,262
하여금,262
건배,262
피하다,262
체력,262
절실히,261
심각하다,261
충실히,261
정진,260
보통,260
한중,260
애정,260
머물다,260
경향,259
확정,259
자꾸,259
지난번,259
숙원,259
유리,258
등장,258
따지다,258
분권,257
돌보다,257
가중,256
분배,256
동남아,256
단축,256
수석,256
귀하다,256
공감대,256
가교,256
수년,256
결속,256
심지어,256
갈수록,256
각료,256
지휘관,255
지나가다,255
근간,255
치유,255
던지다,255
하나님,255
공로,255
파트너십,255
아들,254
형제,254
잘살다,254
설비,253
움직임,253
특정,253
지하철,253
앞서,253
수급,253
교민,253
각지,252
촛불,252
지평,252
저녁,252
돌봄,252
해운,252
감독,252
경축,251
클린턴,251
초월,251
표시,251
창당,251
휴전,251
깃들다,251
참석자,250
떨치다,250
소방관,250
중간,250
고립,250
풍조,250
모임,249
설득,249
발판,249
충남,248
