키워드,빈도수
망하다,43
들여오다,43
각각,43
한강,43
서서히,43
설계,43
시험,43
열망,43
올림픽,43
미흡,43
수익,43
하천,43
실업자,43
은총,43
필연,43
무찌르다,43
내핍,43
예방,43
분산,43
곡가,43
더욱이,43
팽창,43
안목,43
호주,43
성숙,43
상환,43
미루다,43
대비책,43
자제,43
더구나,43
서독,43
영남,43
하나님,43
질병,43
움직이다,43
모처럼,43
그리,43
무시,43
친절,43
이론,43
비방,43
축적,43
희구,43
전문가,43
일자리,43
일련,43
전승,42
공적,42
따뜻하다,42
공산군,42
통화,42
발악,42
신용,42
닥치다,42
양식,42
작정,42
드디어,42
서울시,42
이북,42
전우,42
불순,42
유엔군,42
국도,42
세출,42
위대하다,42
종래,42
율곡,42
참화,42
불철주야,42
점진,42
관민,42
한국군,42
채택,42
학구,42
파월,42
강릉,42
시상식,41
방송국,41
피나다,41
베를린,41
보관,41
그냥,41
그간,41
국기,41
정직,41
국왕,41
확고하다,41
묵묵히,41
긍정,41
동포애,41
퇴전,41
임시,41
어촌,41
유민,41
근검,41
보강,41
수산물,41
존슨,41
국무,41
매일,41
붙이다,41
회관,41
합법,41
관점,41
대상자,41
개개인,41
흐름,41
그릇,41
틀리다,41
문자,41
바르다,41
지리,41
대형,40
식전,40
끈질기다,40
저장,40
자극,40
국운,40
통상,40
지휘,40
진주,40
다리,40
업계,40
활약,40
심정,40
수습,40
솔선수범,40
압도,40
영부인,40
최고,40
삼척,40
편달,40
약화,40
단독,40
기독교,40
재향,40
정국,40
동요,40
가로,40
놓치다,40
우려,40
형제,40
병폐,40
단일,40
구실,40
각별히,40
단결력,40
실리,40
최초,40
분명,40
택하다,39
재난,39
손길,39
신축,39
보살피다,39
정력,39
기아,39
올라서다,39
직무,39
벌어지다,39
크리스마스,39
무상,39
포부,39
사후,39
진운,39
주위,39
대남,39
내국세,39
개척자,39
불만,39
살피다,39
수확,39
해이,39
탄생,39
통과,39
수락,39
신음,39
대학원,39
지성인,39
각지,39
비축,39
신생,39
긴밀하다,39
활기,39
식목일,39
뉴질란드,39
고질,39
근절,39
공세,39
전투력,39
후반기,39
소용,39
외치다,39
기만,39
과학자,39
사방,38
참전,38
동의,38
연방,38
자율,38
연관,38
총선거,38
한마디,38
어떻게,38
무릇,38
평양,38
쓸모,38
이정표,38
자치,38
모방,38
성년,38
촉성,38
요건,38
융자,38
용량,38
내려가다,38
머지않다,38
기량,38
장애,38
도장,38
진력,38
세제,38
집념,38
자진,37
진척,37
만찬회,37
한때,37
신년,37
쓰라리다,37
예의,37
유기,37
개국,37
바뀌다,37
늘리다,37
구라파,37
지사,37
계엄,37
가까이,37
증액,37
연면,37
한시,37
명실,37
국방비,37
다목적,37
도착,37
근거,37
해마다,37
치르다,37
부업,37
본질,37
부득이,37
선인,37
사로잡히다,37
불우,37
차량,37
수력,37
재현,37
연후,37
철학,37
간성,37
대충,37
다사다난,37
체위,37
이성,37
동기,36
결합,36
주간,36
보유,36
원리,36
거래,36
악랄,36
분자,36
완비,36
남해안,36
불멸,36
승인,36
기꺼이,36
배려,36
독창,36
내년도,36
감소,36
우위,36
꾀하다,36
상수도,36
시각,36
소녀,36
모양,36
성적,36
끊임없이,36
토론,36
전라,36
다변,36
역행,36
비난,36
극히,36
싸움,36
죽음,36
스승,36
식민지,36
견디다,36
향도,35
허점,35
관세,35
닥쳐오다,35
예속,35
인원,35
충정,35
통치,35
성격,35
전위,35
준동,35
국적,35
모순,35
동력,35
시비,35
강제,35
점검,35
밀접,35
위신,35
공작,35
숭상,35
가로막다,35
직책,35
내놓다,35
일신,35
준수,35
작용,35
똑똑히,35
종자,35
역정,35
담기다,35
중지,35
발언,35
타성,35
유사시,35
전후방,35
혼자,35
부과,35
굴하다,35
구원,35
영영,35
자격,35
금속,35
시범,34
뼈저리다,34
전역,34
노예,34
폐단,34
편승,34
공히,34
이중,34
소명,34
편리,34
구석구석,34
주야,34
티우,34
병충해,34
산적,34
당파,34
발전상,34
투철하다,34
비행기,34
망각,34
두려워하다,34
비율,34
약하다,34
애국자,34
백성,34
동남,34
여수,34
대오,34
법률,34
방치,34
그저,34
생업,34
선의,34
농지,34
퇴폐,34
박사,34
굳건하다,34
모시다,34
회계,34
해안,34
중공업,34
부면,34
중책,34
