,세계,국민,경제,생각,나라,대한민국,한국,정부,국가,사회,위기,성장,발전,감사,기업,대통령,오늘,지금,협력,모두,정상,회의,국제,사람,노력,사랑,이제,자리,말씀,변화,문제,미래,시대,존경,녹색,축하,산업,기술,문화,이번,역사,지역,가장,선진,극복,일자리,개발,금융,양국,지원,시장,중요,평화,마음,관계,투자,기회,북한,적극,미국,성공,필요,정책,희망,글로벌,분야,환경,기대,올해,교육,서울,진심,이야기,정말,사실,기여,확대,어려움,자유,역할,서민,기후,정신,도움,인류,에너지,시작,생활,물론,무역,도전,서로,가능,행복,동안,사업,안보,건강,일류,기원,경험,선진국,귀빈,이후,민주,과학,중국,젊은이,중심,대학,내외,방문,일본,이상,지속,추진,강화,안전,민주주의,준비,계기,개최,가족,대회,복지,시민,자랑,최근,정치,평가,번영,목표,제도,지난해,수준,시간,가치,참여,전쟁,성과,계속,경쟁력,전국,공동,의미,여러분,신뢰,대응,최선,실천,먼저,자원,한미,계획,최고,가정,학생,도시,조금,해결,과제,참석,관심,회복,합의
역사,108.0,100.0,47.0,70.0,77.0,141.0,79.0,18.0,37.0,13.0,41.0,10.0,56.0,12.0,6.0,30.0,33.0,8.0,16.0,15.0,22.0,26.0,13.0,20.0,16.0,4.0,2.0,17.0,14.0,9.0,14.0,46.0,20.0,4.0,9.0,18.0,20.0,7.0,90.0,12.0,0.0,8.0,0.0,16.0,31.0,3.0,10.0,3.0,19.0,5.0,5.0,9.0,10.0,13.0,20.0,2.0,21.0,1.0,10.0,13.0,54.0,6.0,4.0,8.0,11.0,7.0,10.0,5.0,9.0,7.0,10.0,15.0,2.0,0.0,8.0,11.0,3.0,18.0,19.0,7.0,3.0,5.0,16.0,5.0,32.0,1.0,14.0,4.0,1.0,9.0,31.0,0.0,14.0,2.0,19.0,12.0,2.0,1.0,7.0,3.0,16.0,16.0,0.0,7.0,25.0,7.0,3.0,8.0,12.0,10.0,2.0,7.0,10.0,3.0,1.0,0.0,3.0,1.0,27.0,1.0,5.0,6.0,0.0,10.0,0.0,5.0,41.0,3.0,8.0,11.0,13.0,4.0,3.0,1.0,2.0,9.0,10.0,8.0,6.0,10.0,3.0,0.0,2.0,4.0,20.0,5.0,1.0,2.0,3.0,6.0,0.0,4.0,8.0,2.0,9.0,0.0,3.0,15.0,2.0,1.0,6.0,2.0,8.0,4.0,6.0
지역,122.0,32.0,135.0,46.0,36.0,23.0,32.0,55.0,71.0,70.0,26.0,49.0,223.0,27.0,49.0,14.0,11.0,7.0,55.0,10.0,7.0,15.0,37.0,16.0,36.0,10.0,2.0,12.0,14.0,13.0,19.0,19.0,35.0,9.0,14.0,14.0,32.0,6.0,38.0,19.0,8.0,0.0,0.0,4.0,10.0,27.0,26.0,11.0,7.0,29.0,13.0,20.0,31.0,4.0,14.0,43.0,10.0,3.0,17.0,8.0,13.0,13.0,10.0,9.0,16.0,11.0,15.0,31.0,6.0,8.0,3.0,8.0,4.0,0.0,6.0,39.0,23.0,9.0,13.0,18.0,13.0,10.0,9.0,20.0,7.0,6.0,9.0,11.0,0.0,8.0,6.0,1.0,9.0,6.0,8.0,39.0,18.0,7.0,2.0,5.0,7.0,3.0,2.0,12.0,5.0,7.0,9.0,4.0,17.0,10.0,2.0,6.0,4.0,11.0,15.0,20.0,17.0,6.0,22.0,2.0,16.0,8.0,2.0,5.0,4.0,7.0,7.0,5.0,15.0,10.0,22.0,4.0,8.0,7.0,3.0,3.0,12.0,19.0,2.0,11.0,2.0,40.0,13.0,19.0,3.0,0.0,5.0,9.0,6.0,5.0,0.0,7.0,10.0,11.0,7.0,6.0,5.0,17.0,0.0,9.0,9.0,3.0,6.0,4.0,2.0
가장,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
선진,81.0,103.0,85.0,47.0,80.0,124.0,18.0,64.0,435.0,138.0,42.0,31.0,35.0,4.0,6.0,11.0,9.0,14.0,11.0,30.0,4.0,5.0,13.0,14.0,23.0,11.0,12.0,7.0,6.0,24.0,2.0,19.0,36.0,7.0,13.0,3.0,51.0,23.0,30.0,8.0,16.0,4.0,0.0,0.0,29.0,7.0,4.0,8.0,3.0,7.0,5.0,14.0,9.0,6.0,7.0,5.0,17.0,0.0,9.0,2.0,12.0,4.0,5.0,7.0,11.0,22.0,6.0,6.0,13.0,13.0,0.0,3.0,2.0,0.0,1.0,9.0,4.0,4.0,5.0,9.0,4.0,1.0,36.0,3.0,3.0,2.0,7.0,9.0,1.0,1.0,9.0,1.0,19.0,19.0,5.0,4.0,17.0,9.0,379.0,3.0,7.0,9.0,0.0,4.0,45.0,20.0,0.0,0.0,14.0,6.0,0.0,0.0,1.0,3.0,5.0,17.0,3.0,14.0,7.0,6.0,18.0,2.0,1.0,3.0,9.0,6.0,7.0,1.0,23.0,2.0,5.0,18.0,22.0,5.0,16.0,2.0,6.0,0.0,2.0,4.0,2.0,10.0,1.0,6.0,2.0,4.0,8.0,5.0,9.0,19.0,0.0,4.0,3.0,3.0,7.0,2.0,0.0,2.0,1.0,3.0,16.0,4.0,4.0,1.0,2.0
극복,241.0,106.0,291.0,58.0,84.0,85.0,59.0,46.0,77.0,59.0,636.0,64.0,21.0,6.0,21.0,15.0,25.0,26.0,34.0,47.0,46.0,38.0,52.0,10.0,44.0,2.0,2.0,15.0,14.0,23.0,20.0,28.0,15.0,0.0,30.0,1.0,7.0,10.0,7.0,31.0,31.0,10.0,0.0,29.0,0.0,16.0,10.0,95.0,7.0,3.0,9.0,16.0,2.0,15.0,2.0,10.0,18.0,3.0,20.0,11.0,64.0,23.0,11.0,20.0,40.0,4.0,16.0,7.0,8.0,3.0,6.0,3.0,9.0,0.0,4.0,18.0,10.0,102.0,10.0,27.0,5.0,16.0,13.0,11.0,13.0,8.0,4.0,2.0,4.0,22.0,26.0,3.0,22.0,1.0,3.0,2.0,14.0,1.0,17.0,5.0,29.0,11.0,0.0,30.0,6.0,3.0,5.0,3.0,8.0,0.0,0.0,0.0,9.0,3.0,27.0,7.0,10.0,2.0,5.0,14.0,9.0,8.0,1.0,0.0,0.0,0.0,11.0,3.0,7.0,22.0,8.0,5.0,7.0,7.0,0.0,7.0,2.0,5.0,12.0,5.0,2.0,4.0,0.0,6.0,5.0,1.0,8.0,9.0,11.0,5.0,0.0,5.0,4.0,0.0,1.0,0.0,1.0,5.0,1.0,11.0,15.0,2.0,2.0,12.0,5.0
일자리,85.0,29.0,132.0,81.0,45.0,19.0,14.0,112.0,22.0,49.0,40.0,92.0,20.0,1.0,119.0,14.0,4.0,6.0,12.0,10.0,2.0,4.0,7.0,45.0,36.0,6.0,1.0,7.0,8.0,11.0,65.0,12.0,16.0,4.0,27.0,0.0,57.0,25.0,12.0,15.0,3.0,27.0,2.0,7.0,16.0,0.0,4.0,9.0,2.0,26.0,16.0,22.0,0.0,8.0,7.0,68.0,19.0,0.0,23.0,13.0,11.0,18.0,39.0,15.0,3.0,13.0,18.0,18.0,21.0,18.0,1.0,0.0,8.0,0.0,20.0,13.0,14.0,13.0,3.0,2.0,55.0,7.0,4.0,11.0,2.0,15.0,14.0,21.0,4.0,4.0,4.0,1.0,6.0,13.0,3.0,18.0,1.0,10.0,3.0,1.0,7.0,4.0,0.0,3.0,0.0,2.0,3.0,51.0,14.0,17.0,0.0,1.0,3.0,7.0,9.0,5.0,6.0,5.0,0.0,2.0,7.0,0.0,3.0,1.0,68.0,0.0,0.0,1.0,0.0,3.0,1.0,24.0,9.0,7.0,6.0,6.0,2.0,9.0,0.0,6.0,5.0,8.0,2.0,3.0,2.0,0.0,0.0,5.0,20.0,6.0,0.0,1.0,9.0,8.0,24.0,10.0,5.0,6.0,11.0,10.0,15.0,1.0,6.0,18.0,7.0
개발,136.0,22.0,144.0,33.0,49.0,42.0,85.0,65.0,68.0,35.0,30.0,153.0,50.0,6.0,28.0,14.0,4.0,6.0,114.0,5.0,75.0,79.0,69.0,5.0,54.0,2.0,9.0,8.0,9.0,31.0,39.0,19.0,20.0,5.0,92.0,0.0,47.0,174.0,7.0,21.0,10.0,26.0,0.0,4.0,10.0,4.0,0.0,31.0,7.0,64.0,13.0,22.0,27.0,2.0,3.0,43.0,6.0,17.0,44.0,7.0,26.0,25.0,18.0,6.0,35.0,30.0,50.0,15.0,12.0,14.0,64.0,3.0,3.0,0.0,5.0,16.0,46.0,8.0,1.0,4.0,1.0,30.0,6.0,16.0,11.0,86.0,11.0,8.0,5.0,10.0,6.0,3.0,23.0,3.0,3.0,34.0,10.0,0.0,2.0,1.0,73.0,46.0,3.0,8.0,3.0,23.0,9.0,4.0,7.0,8.0,3.0,5.0,6.0,9.0,42.0,28.0,23.0,4.0,4.0,2.0,11.0,18.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,7.0,14.0,33.0,5.0,22.0,10.0,2.0,9.0,22.0,3.0,26.0,5.0,4.0,1.0,24.0,3.0,0.0,3.0,14.0,6.0,6.0,0.0,44.0,0.0,48.0,5.0,0.0,2.0,11.0,0.0,10.0,10.0,6.0,13.0,2.0,30.0
금융,232.0,18.0,209.0,48.0,21.0,15.0,57.0,52.0,38.0,23.0,408.0,45.0,17.0,5.0,52.0,17.0,12.0,20.0,51.0,6.0,103.0,89.0,202.0,8.0,39.0,2.0,3.0,17.0,20.0,22.0,53.0,7.0,2.0,1.0,17.0,15.0,29.0,13.0,4.0,38.0,3.0,11.0,0.0,8.0,95.0,9.0,31.0,0.0,5.0,41.0,72.0,23.0,0.0,4.0,2.0,19.0,7.0,3.0,26.0,28.0,28.0,19.0,31.0,10.0,100.0,19.0,11.0,10.0,7.0,4.0,33.0,8.0,9.0,0.0,8.0,18.0,27.0,18.0,5.0,19.0,88.0,15.0,4.0,11.0,3.0,11.0,22.0,10.0,0.0,29.0,6.0,0.0,20.0,1.0,6.0,8.0,7.0,2.0,0.0,2.0,20.0,25.0,1.0,27.0,0.0,3.0,2.0,1.0,7.0,0.0,0.0,2.0,5.0,9.0,23.0,26.0,41.0,3.0,0.0,7.0,6.0,14.0,0.0,1.0,1.0,1.0,1.0,12.0,2.0,12.0,0.0,3.0,27.0,10.0,9.0,3.0,3.0,9.0,2.0,10.0,5.0,6.0,3.0,13.0,10.0,1.0,12.0,31.0,1.0,1.0,0.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,13.0,12.0,8.0,7.0,26.0,27.0
양국,49.0,62.0,160.0,73.0,20.0,18.0,73.0,28.0,12.0,21.0,18.0,20.0,155.0,21.0,25.0,46.0,25.0,6.0,336.0,9.0,56.0,10.0,22.0,5.0,23.0,2.0,5.0,28.0,9.0,22.0,34.0,44.0,16.0,15.0,24.0,3.0,27.0,19.0,58.0,64.0,19.0,7.0,0.0,3.0,7.0,2.0,7.0,5.0,0.0,5.0,13.0,14.0,24.0,8.0,208.0,30.0,20.0,5.0,9.0,7.0,10.0,9.0,2.0,9.0,15.0,70.0,6.0,43.0,10.0,9.0,3.0,11.0,11.0,0.0,4.0,41.0,57.0,4.0,21.0,9.0,0.0,18.0,2.0,26.0,6.0,17.0,6.0,0.0,2.0,9.0,7.0,21.0,6.0,7.0,11.0,18.0,13.0,23.0,0.0,16.0,9.0,0.0,2.0,13.0,1.0,8.0,12.0,5.0,3.0,3.0,3.0,44.0,13.0,10.0,5.0,9.0,26.0,0.0,14.0,6.0,50.0,10.0,1.0,2.0,0.0,0.0,0.0,7.0,8.0,3.0,55.0,2.0,1.0,10.0,9.0,9.0,29.0,12.0,1.0,14.0,0.0,3.0,0.0,51.0,12.0,1.0,17.0,12.0,2.0,2.0,0.0,9.0,65.0,4.0,1.0,1.0,2.0,0.0,1.0,9.0,2.0,6.0,12.0,3.0,17.0
지원,51.0,32.0,46.0,17.0,24.0,23.0,63.0,223.0,32.0,37.0,14.0,50.0,28.0,18.0,64.0,5.0,2.0,11.0,35.0,6.0,16.0,11.0,40.0,13.0,50.0,5.0,0.0,5.0,10.0,14.0,27.0,13.0,7.0,3.0,28.0,4.0,45.0,48.0,23.0,9.0,5.0,29.0,4.0,7.0,3.0,26.0,64.0,41.0,5.0,0.0,15.0,21.0,14.0,6.0,3.0,30.0,5.0,13.0,97.0,15.0,11.0,39.0,43.0,17.0,17.0,26.0,12.0,4.0,21.0,25.0,8.0,0.0,3.0,0.0,1.0,5.0,73.0,14.0,3.0,6.0,37.0,11.0,3.0,9.0,3.0,4.0,14.0,29.0,2.0,5.0,4.0,0.0,5.0,3.0,5.0,26.0,2.0,5.0,3.0,0.0,14.0,13.0,0.0,8.0,6.0,15.0,3.0,8.0,12.0,13.0,0.0,2.0,6.0,13.0,15.0,15.0,40.0,7.0,2.0,8.0,4.0,5.0,8.0,8.0,22.0,2.0,2.0,4.0,4.0,7.0,2.0,7.0,26.0,9.0,14.0,2.0,6.0,7.0,6.0,8.0,7.0,13.0,4.0,3.0,0.0,2.0,2.0,6.0,8.0,3.0,0.0,7.0,1.0,9.0,10.0,29.0,19.0,3.0,0.0,21.0,5.0,1.0,24.0,5.0,9.0
시장,123.0,20.0,173.0,46.0,28.0,17.0,34.0,59.0,21.0,24.0,40.0,38.0,32.0,13.0,69.0,18.0,8.0,10.0,22.0,1.0,8.0,13.0,46.0,23.0,35.0,1.0,3.0,10.0,16.0,18.0,9.0,11.0,11.0,5.0,13.0,4.0,24.0,22.0,12.0,20.0,5.0,13.0,0.0,5.0,9.0,16.0,13.0,72.0,13.0,15.0,0.0,9.0,5.0,9.0,19.0,24.0,16.0,2.0,22.0,40.0,13.0,15.0,24.0,5.0,21.0,11.0,13.0,9.0,9.0,5.0,33.0,3.0,9.0,0.0,10.0,7.0,23.0,3.0,52.0,7.0,18.0,4.0,8.0,23.0,4.0,8.0,12.0,6.0,1.0,17.0,12.0,2.0,9.0,3.0,6.0,4.0,1.0,4.0,0.0,0.0,9.0,12.0,2.0,4.0,1.0,0.0,25.0,3.0,9.0,13.0,2.0,6.0,16.0,17.0,15.0,19.0,15.0,2.0,44.0,2.0,7.0,2.0,0.0,1.0,2.0,14.0,2.0,5.0,3.0,6.0,7.0,5.0,8.0,12.0,3.0,7.0,30.0,5.0,5.0,1.0,5.0,19.0,14.0,10.0,10.0,5.0,18.0,12.0,3.0,1.0,0.0,9.0,7.0,4.0,2.0,2.0,0.0,6.0,6.0,3.0,4.0,2.0,5.0,12.0,7.0
중요,93.0,46.0,106.0,116.0,32.0,21.0,30.0,25.0,70.0,62.0,39.0,53.0,50.0,2.0,35.0,21.0,8.0,15.0,53.0,4.0,34.0,43.0,58.0,13.0,26.0,7.0,1.0,17.0,11.0,20.0,45.0,27.0,11.0,2.0,19.0,3.0,17.0,16.0,23.0,21.0,9.0,20.0,0.0,14.0,16.0,22.0,22.0,23.0,14.0,21.0,9.0,0.0,18.0,12.0,14.0,13.0,7.0,7.0,11.0,13.0,12.0,16.0,21.0,4.0,14.0,15.0,10.0,6.0,9.0,23.0,7.0,2.0,8.0,0.0,11.0,5.0,14.0,5.0,7.0,55.0,3.0,11.0,8.0,5.0,14.0,10.0,7.0,19.0,3.0,12.0,4.0,3.0,9.0,8.0,1.0,12.0,21.0,5.0,8.0,0.0,17.0,23.0,0.0,8.0,5.0,8.0,6.0,4.0,7.0,3.0,0.0,4.0,4.0,6.0,24.0,7.0,13.0,35.0,4.0,6.0,16.0,5.0,3.0,2.0,6.0,2.0,0.0,9.0,5.0,8.0,9.0,13.0,18.0,4.0,6.0,4.0,19.0,7.0,2.0,7.0,0.0,9.0,2.0,9.0,18.0,0.0,22.0,8.0,0.0,18.0,0.0,17.0,9.0,3.0,14.0,8.0,1.0,2.0,1.0,11.0,27.0,1.0,8.0,8.0,17.0
평화,256.0,57.0,46.0,33.0,46.0,58.0,35.0,18.0,46.0,28.0,3.0,14.0,44.0,23.0,0.0,9.0,11.0,5.0,49.0,15.0,17.0,51.0,57.0,8.0,30.0,22.0,5.0,11.0,12.0,10.0,31.0,10.0,14.0,12.0,4.0,16.0,0.0,4.0,11.0,19.0,10.0,31.0,0.0,9.0,2.0,0.0,27.0,0.0,24.0,14.0,5.0,18.0,0.0,11.0,20.0,1.0,5.0,58.0,24.0,20.0,8.0,13.0,3.0,13.0,7.0,4.0,6.0,9.0,2.0,1.0,14.0,10.0,2.0,0.0,4.0,89.0,10.0,0.0,63.0,16.0,0.0,2.0,15.0,10.0,66.0,0.0,8.0,1.0,3.0,0.0,5.0,3.0,5.0,13.0,5.0,2.0,47.0,2.0,5.0,16.0,1.0,2.0,2.0,1.0,48.0,2.0,8.0,8.0,0.0,3.0,1.0,1.0,6.0,5.0,10.0,4.0,7.0,34.0,22.0,6.0,6.0,5.0,6.0,9.0,4.0,3.0,2.0,5.0,4.0,4.0,119.0,8.0,0.0,2.0,0.0,2.0,21.0,14.0,24.0,2.0,4.0,0.0,0.0,35.0,4.0,2.0,16.0,3.0,4.0,4.0,0.0,2.0,16.0,0.0,1.0,1.0,0.0,2.0,1.0,8.0,9.0,5.0,5.0,2.0,7.0
마음,35.0,126.0,21.0,91.0,73.0,50.0,20.0,17.0,23.0,39.0,29.0,5.0,17.0,70.0,26.0,26.0,10.0,9.0,12.0,34.0,5.0,4.0,4.0,24.0,16.0,45.0,2.0,24.0,23.0,6.0,15.0,25.0,7.0,23.0,0.0,5.0,2.0,9.0,16.0,11.0,13.0,4.0,0.0,6.0,15.0,8.0,2.0,4.0,8.0,6.0,9.0,12.0,11.0,0.0,9.0,9.0,10.0,18.0,7.0,7.0,14.0,5.0,2.0,19.0,3.0,4.0,6.0,8.0,3.0,4.0,3.0,11.0,16.0,0.0,0.0,6.0,1.0,10.0,6.0,4.0,10.0,0.0,11.0,8.0,5.0,2.0,9.0,13.0,3.0,1.0,4.0,13.0,2.0,14.0,6.0,0.0,4.0,8.0,3.0,9.0,5.0,2.0,2.0,1.0,4.0,6.0,2.0,12.0,2.0,4.0,2.0,9.0,5.0,1.0,3.0,2.0,2.0,6.0,2.0,11.0,0.0,1.0,20.0,4.0,3.0,8.0,6.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,5.0,3.0,4.0,1.0,2.0,0.0,0.0,3.0,2.0,6.0,4.0,8.0,0.0,11.0,13.0,0.0,1.0,0.0,2.0,3.0,2.0,5.0,0.0,5.0,4.0,0.0,3.0,3.0,2.0,1.0
관계,28.0,31.0,90.0,78.0,65.0,32.0,88.0,39.0,19.0,27.0,5.0,15.0,171.0,19.0,18.0,49.0,7.0,6.0,156.0,6.0,46.0,12.0,22.0,15.0,22.0,3.0,12.0,12.0,13.0,20.0,42.0,56.0,14.0,7.0,9.0,2.0,4.0,0.0,37.0,36.0,20.0,14.0,0.0,7.0,2.0,7.0,3.0,2.0,208.0,3.0,19.0,14.0,20.0,9.0,0.0,18.0,11.0,34.0,5.0,56.0,8.0,8.0,8.0,5.0,9.0,35.0,3.0,22.0,10.0,12.0,2.0,9.0,14.0,0.0,9.0,14.0,22.0,1.0,10.0,8.0,1.0,4.0,2.0,22.0,2.0,2.0,3.0,0.0,1.0,5.0,1.0,11.0,3.0,3.0,7.0,8.0,23.0,9.0,2.0,3.0,0.0,1.0,0.0,21.0,0.0,2.0,47.0,8.0,11.0,2.0,0.0,24.0,28.0,6.0,5.0,6.0,47.0,4.0,9.0,10.0,33.0,2.0,2.0,1.0,1.0,0.0,4.0,5.0,19.0,7.0,13.0,3.0,4.0,4.0,8.0,5.0,26.0,4.0,8.0,6.0,1.0,5.0,0.0,20.0,7.0,5.0,34.0,3.0,3.0,3.0,0.0,3.0,57.0,5.0,4.0,3.0,5.0,0.0,1.0,7.0,3.0,3.0,8.0,9.0,8.0
투자,88.0,13.0,93.0,60.0,44.0,28.0,122.0,68.0,37.0,16.0,45.0,68.0,33.0,9.0,217.0,16.0,8.0,10.0,29.0,4.0,9.0,7.0,9.0,7.0,34.0,2.0,5.0,12.0,9.0,7.0,9.0,44.0,5.0,3.0,54.0,2.0,47.0,47.0,6.0,14.0,2.0,43.0,0.0,5.0,10.0,68.0,43.0,19.0,30.0,30.0,24.0,13.0,1.0,9.0,18.0,0.0,17.0,0.0,37.0,16.0,8.0,16.0,11.0,3.0,11.0,27.0,41.0,16.0,13.0,15.0,1.0,3.0,6.0,0.0,5.0,9.0,66.0,4.0,15.0,7.0,4.0,5.0,10.0,7.0,3.0,21.0,18.0,4.0,2.0,38.0,5.0,1.0,8.0,1.0,4.0,17.0,5.0,1.0,2.0,0.0,4.0,6.0,0.0,9.0,1.0,15.0,26.0,4.0,2.0,5.0,0.0,11.0,13.0,14.0,16.0,9.0,10.0,5.0,0.0,4.0,9.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,2.0,9.0,3.0,9.0,5.0,7.0,20.0,5.0,4.0,6.0,0.0,5.0,8.0,6.0,1.0,7.0,9.0,0.0,0.0,4.0,5.0,1.0,0.0,11.0,6.0,17.0,6.0,0.0,1.0,5.0,3.0,2.0,2.0,6.0,4.0,11.0,10.0
기회,68.0,44.0,67.0,87.0,32.0,41.0,54.0,38.0,29.0,62.0,161.0,29.0,20.0,15.0,40.0,11.0,10.0,20.0,18.0,17.0,27.0,25.0,13.0,39.0,28.0,2.0,1.0,5.0,29.0,27.0,10.0,23.0,11.0,3.0,11.0,3.0,17.0,11.0,24.0,38.0,21.0,10.0,0.0,17.0,18.0,19.0,6.0,7.0,20.0,5.0,16.0,7.0,5.0,10.0,11.0,17.0,0.0,5.0,11.0,12.0,14.0,12.0,4.0,12.0,14.0,5.0,8.0,11.0,4.0,23.0,4.0,5.0,17.0,0.0,6.0,6.0,12.0,14.0,5.0,3.0,8.0,10.0,11.0,2.0,5.0,6.0,8.0,4.0,3.0,6.0,23.0,2.0,4.0,3.0,13.0,4.0,6.0,5.0,9.0,2.0,12.0,12.0,0.0,6.0,3.0,4.0,6.0,19.0,7.0,5.0,0.0,7.0,2.0,1.0,2.0,4.0,13.0,8.0,2.0,16.0,11.0,4.0,3.0,3.0,5.0,0.0,1.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,0.0,5.0,7.0,8.0,0.0,4.0,2.0,12.0,0.0,2.0,5.0,1.0,3.0,5.0,4.0,3.0,0.0,3.0,8.0,2.0,2.0,9.0,6.0,2.0,1.0,4.0,1.0,1.0,5.0,5.0,3.0
북한,65.0,30.0,40.0,71.0,41.0,37.0,41.0,28.0,12.0,86.0,14.0,1.0,21.0,3.0,1.0,32.0,4.0,18.0,50.0,8.0,26.0,9.0,90.0,8.0,21.0,5.0,4.0,3.0,11.0,30.0,91.0,5.0,12.0,4.0,0.0,0.0,4.0,0.0,2.0,24.0,1.0,3.0,0.0,0.0,3.0,0.0,17.0,3.0,5.0,13.0,2.0,7.0,58.0,18.0,34.0,0.0,5.0,0.0,20.0,32.0,0.0,8.0,9.0,3.0,1.0,1.0,0.0,12.0,2.0,0.0,5.0,11.0,13.0,0.0,10.0,3.0,2.0,6.0,10.0,6.0,0.0,1.0,0.0,14.0,1.0,0.0,6.0,3.0,1.0,0.0,5.0,0.0,7.0,6.0,2.0,5.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,33.0,2.0,2.0,2.0,0.0,2.0,13.0,6.0,9.0,10.0,8.0,24.0,1.0,19.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,2.0,5.0,13.0,2.0,0.0,6.0,2.0,8.0,3.0,1.0,8.0,2.0,10.0,0.0,0.0,6.0,0.0,2.0,3.0,9.0,2.0,0.0,0.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,28.0,3.0,5.0,12.0,1.0,4.0
적극,73.0,54.0,63.0,34.0,21.0,31.0,68.0,124.0,42.0,66.0,35.0,55.0,36.0,18.0,76.0,20.0,7.0,11.0,84.0,10.0,27.0,29.0,78.0,5.0,59.0,5.0,7.0,14.0,10.0,45.0,25.0,19.0,19.0,6.0,43.0,1.0,34.0,28.0,11.0,8.0,10.0,17.0,0.0,9.0,20.0,23.0,44.0,26.0,9.0,97.0,22.0,11.0,24.0,7.0,5.0,37.0,11.0,20.0,0.0,11.0,15.0,23.0,32.0,4.0,20.0,23.0,21.0,17.0,7.0,7.0,6.0,1.0,4.0,0.0,1.0,18.0,23.0,3.0,4.0,27.0,5.0,24.0,6.0,10.0,14.0,15.0,11.0,10.0,2.0,8.0,4.0,1.0,16.0,2.0,5.0,14.0,9.0,6.0,3.0,0.0,9.0,12.0,0.0,9.0,5.0,3.0,9.0,9.0,12.0,4.0,0.0,2.0,8.0,3.0,14.0,33.0,11.0,7.0,3.0,9.0,6.0,11.0,3.0,2.0,5.0,9.0,3.0,7.0,8.0,8.0,12.0,8.0,4.0,5.0,6.0,1.0,8.0,52.0,3.0,7.0,2.0,10.0,1.0,13.0,6.0,1.0,5.0,29.0,4.0,13.0,0.0,9.0,2.0,15.0,6.0,4.0,1.0,4.0,3.0,12.0,6.0,4.0,12.0,6.0,7.0
미국,119.0,38.0,86.0,49.0,90.0,48.0,147.0,25.0,50.0,46.0,45.0,41.0,24.0,6.0,19.0,66.0,9.0,17.0,20.0,3.0,23.0,20.0,26.0,28.0,9.0,2.0,6.0,5.0,7.0,4.0,26.0,11.0,9.0,2.0,4.0,1.0,5.0,15.0,17.0,23.0,13.0,8.0,0.0,2.0,11.0,13.0,7.0,28.0,7.0,15.0,40.0,13.0,20.0,7.0,56.0,16.0,12.0,32.0,11.0,0.0,10.0,4.0,9.0,2.0,9.0,8.0,1.0,6.0,9.0,14.0,3.0,2.0,10.0,0.0,4.0,15.0,9.0,9.0,24.0,12.0,2.0,2.0,3.0,15.0,8.0,3.0,15.0,2.0,3.0,18.0,5.0,0.0,8.0,1.0,10.0,6.0,5.0,1.0,1.0,0.0,6.0,21.0,0.0,8.0,2.0,9.0,45.0,15.0,8.0,12.0,3.0,39.0,76.0,12.0,4.0,2.0,7.0,15.0,12.0,2.0,7.0,4.0,1.0,0.0,0.0,0.0,10.0,10.0,9.0,9.0,12.0,4.0,1.0,9.0,11.0,2.0,22.0,4.0,22.0,5.0,2.0,3.0,1.0,12.0,0.0,0.0,12.0,4.0,1.0,2.0,0.0,3.0,34.0,6.0,9.0,0.0,7.0,1.0,1.0,4.0,1.0,5.0,2.0,10.0,7.0
