,경제,국민,세계,정부,발전,한국,산업,협력,혁신,노력,사회,기업,국가,대한민국,창조,지원,문화,성장,기술,양국,평화,생각,지역,미래,북한,지금,감사,나라,축하,오늘,시대,동포,행복,통일,교육,국제,확대,모두,개발,분야,적극,시장,한반도,변화,투자,추진,존경,중요,기대,여성,역사,센터,글로벌,사업,이제,동안,개혁,도약,환경,자리,희망,일자리,안전,진심,과학,도전,구축,기여,역할,지속,에너지,강화,기반,창출,성공,창의,필요,이번,창업,기원,가치,수출,문제,가능,안보,다양,신뢰,중심,기회,역량,대회,서비스,관계,대응,전국,헌신,금융,위기,정책,계획,인류,귀빈,내외,아이디어,정보,공동,중국,규제,마음,자유,포럼,융합,성과,가장,정신,시작,정상,벤처,영상,최근,과제,올해,도발,상황,개최,진출,번영,메시지,의료,동북아,무역,개선,위협,주민,최선,말씀,바탕,현재,규모,극복,마련,현장,동력,회의,민족,과정,활성,청년,핵심,활용,각국,경찰,육성,어려움,교류,참여,토대,경험,해외,국회,건설,제공,전략,구조,운동,서로,조성,전쟁,계기,남북,이상,기관,경쟁력,생활,인재,해결
양국,377.0,61.0,60.0,68.0,171.0,171.0,91.0,490.0,42.0,83.0,31.0,74.0,24.0,8.0,33.0,43.0,74.0,64.0,56.0,0.0,14.0,105.0,20.0,100.0,5.0,11.0,5.0,16.0,12.0,21.0,17.0,84.0,6.0,5.0,14.0,6.0,116.0,19.0,37.0,107.0,28.0,45.0,2.0,17.0,55.0,36.0,29.0,19.0,92.0,0.0,22.0,8.0,23.0,30.0,9.0,35.0,6.0,23.0,23.0,26.0,32.0,9.0,4.0,12.0,7.0,12.0,29.0,47.0,25.0,19.0,54.0,33.0,20.0,15.0,30.0,15.0,16.0,57.0,4.0,5.0,12.0,6.0,16.0,7.0,1.0,47.0,30.0,21.0,34.0,6.0,4.0,33.0,144.0,9.0,3.0,3.0,12.0,8.0,16.0,6.0,12.0,2.0,3.0,7.0,9.0,72.0,28.0,3.0,17.0,21.0,32.0,7.0,14.0,0.0,9.0,23.0,18.0,0.0,0.0,17.0,11.0,4.0,1.0,9.0,15.0,44.0,35.0,0.0,34.0,6.0,24.0,7.0,0.0,0.0,2.0,20.0,40.0,5.0,29.0,7.0,26.0,13.0,13.0,7.0,3.0,18.0,23.0,9.0,5.0,17.0,0.0,4.0,6.0,3.0,68.0,12.0,16.0,25.0,10.0,0.0,22.0,9.0,25.0,11.0,3.0,17.0,9.0,9.0,50.0,0.0,12.0,14.0,8.0,5.0,7.0,7.0
평화,45.0,97.0,197.0,62.0,75.0,61.0,3.0,140.0,4.0,74.0,65.0,1.0,49.0,89.0,15.0,16.0,30.0,17.0,5.0,14.0,0.0,51.0,46.0,36.0,119.0,13.0,15.0,42.0,16.0,19.0,80.0,11.0,66.0,349.0,7.0,74.0,11.0,38.0,26.0,13.0,19.0,2.0,322.0,27.0,1.0,21.0,31.0,35.0,26.0,10.0,36.0,0.0,15.0,4.0,8.0,11.0,4.0,9.0,11.0,22.0,27.0,0.0,16.0,15.0,3.0,15.0,83.0,81.0,12.0,28.0,5.0,10.0,79.0,2.0,8.0,2.0,9.0,17.0,0.0,13.0,20.0,2.0,24.0,23.0,70.0,10.0,55.0,7.0,6.0,9.0,5.0,0.0,20.0,10.0,4.0,24.0,0.0,11.0,4.0,8.0,61.0,18.0,16.0,0.0,2.0,51.0,5.0,0.0,20.0,64.0,10.0,1.0,6.0,0.0,11.0,11.0,16.0,0.0,9.0,5.0,12.0,7.0,36.0,13.0,16.0,0.0,133.0,11.0,5.0,151.0,0.0,3.0,66.0,24.0,9.0,3.0,18.0,1.0,0.0,20.0,8.0,4.0,8.0,33.0,39.0,6.0,3.0,7.0,5.0,0.0,16.0,4.0,0.0,5.0,18.0,11.0,21.0,6.0,11.0,8.0,14.0,6.0,1.0,4.0,5.0,6.0,25.0,33.0,12.0,43.0,16.0,4.0,0.0,1.0,2.0,15.0
생각,170.0,122.0,76.0,51.0,68.0,68.0,42.0,110.0,36.0,67.0,52.0,33.0,43.0,63.0,62.0,17.0,56.0,43.0,35.0,105.0,51.0,0.0,28.0,71.0,22.0,24.0,4.0,39.0,7.0,32.0,46.0,62.0,38.0,41.0,28.0,19.0,30.0,15.0,16.0,28.0,12.0,15.0,38.0,47.0,20.0,20.0,31.0,80.0,8.0,37.0,28.0,8.0,19.0,8.0,8.0,12.0,14.0,21.0,28.0,39.0,23.0,13.0,16.0,6.0,26.0,24.0,16.0,11.0,41.0,12.0,13.0,12.0,11.0,12.0,21.0,14.0,26.0,27.0,8.0,2.0,25.0,4.0,31.0,22.0,12.0,5.0,24.0,16.0,23.0,13.0,17.0,14.0,26.0,15.0,2.0,19.0,5.0,11.0,20.0,4.0,15.0,18.0,16.0,8.0,14.0,19.0,16.0,3.0,24.0,11.0,14.0,14.0,26.0,0.0,21.0,17.0,9.0,7.0,4.0,9.0,18.0,13.0,8.0,9.0,28.0,12.0,24.0,5.0,8.0,16.0,8.0,6.0,5.0,6.0,6.0,6.0,9.0,3.0,3.0,15.0,16.0,13.0,10.0,13.0,7.0,10.0,4.0,7.0,7.0,8.0,11.0,4.0,7.0,10.0,13.0,7.0,10.0,10.0,6.0,19.0,6.0,8.0,11.0,7.0,17.0,4.0,9.0,10.0,8.0,12.0,9.0,1.0,4.0,6.0,8.0,14.0
지역,272.0,61.0,90.0,117.0,230.0,50.0,143.0,92.0,147.0,53.0,67.0,85.0,75.0,35.0,123.0,146.0,78.0,81.0,38.0,20.0,46.0,28.0,0.0,32.0,20.0,18.0,25.0,16.0,17.0,8.0,27.0,84.0,40.0,14.0,29.0,12.0,36.0,18.0,64.0,24.0,57.0,28.0,13.0,23.0,60.0,84.0,12.0,35.0,33.0,9.0,16.0,116.0,22.0,97.0,3.0,28.0,31.0,10.0,30.0,26.0,44.0,57.0,21.0,5.0,11.0,8.0,39.0,32.0,41.0,33.0,23.0,48.0,25.0,57.0,24.0,29.0,21.0,24.0,49.0,7.0,24.0,13.0,21.0,19.0,18.0,29.0,11.0,50.0,8.0,26.0,11.0,36.0,22.0,19.0,74.0,19.0,23.0,7.0,51.0,6.0,12.0,6.0,6.0,15.0,7.0,17.0,15.0,57.0,6.0,7.0,1.0,11.0,36.0,0.0,5.0,27.0,4.0,18.0,8.0,13.0,15.0,14.0,3.0,4.0,22.0,24.0,8.0,10.0,16.0,41.0,3.0,19.0,12.0,165.0,8.0,5.0,9.0,5.0,27.0,6.0,31.0,26.0,24.0,21.0,8.0,8.0,69.0,11.0,23.0,19.0,4.0,17.0,34.0,12.0,15.0,19.0,6.0,8.0,12.0,6.0,12.0,20.0,35.0,16.0,21.0,2.0,39.0,6.0,14.0,0.0,21.0,32.0,35.0,47.0,21.0,10.0
미래,178.0,71.0,91.0,78.0,75.0,82.0,153.0,95.0,72.0,48.0,33.0,38.0,71.0,105.0,100.0,34.0,54.0,135.0,77.0,100.0,36.0,71.0,32.0,0.0,9.0,15.0,8.0,34.0,18.0,37.0,35.0,33.0,35.0,34.0,43.0,8.0,26.0,19.0,32.0,36.0,32.0,27.0,20.0,33.0,33.0,31.0,31.0,26.0,62.0,18.0,35.0,20.0,21.0,11.0,5.0,18.0,27.0,33.0,26.0,37.0,49.0,23.0,6.0,16.0,33.0,27.0,18.0,9.0,24.0,30.0,27.0,18.0,31.0,33.0,13.0,35.0,18.0,38.0,9.0,12.0,26.0,20.0,16.0,32.0,6.0,15.0,7.0,17.0,16.0,17.0,5.0,20.0,26.0,11.0,6.0,7.0,5.0,8.0,11.0,8.0,40.0,13.0,13.0,16.0,13.0,30.0,23.0,12.0,12.0,6.0,29.0,27.0,11.0,0.0,16.0,13.0,13.0,11.0,4.0,3.0,19.0,3.0,1.0,7.0,7.0,3.0,35.0,4.0,23.0,10.0,1.0,8.0,7.0,8.0,11.0,8.0,13.0,4.0,9.0,14.0,14.0,8.0,66.0,14.0,10.0,1.0,6.0,17.0,23.0,10.0,13.0,2.0,27.0,13.0,6.0,9.0,17.0,15.0,4.0,8.0,7.0,10.0,32.0,13.0,7.0,6.0,7.0,3.0,18.0,4.0,6.0,3.0,15.0,7.0,25.0,8.0
북한,70.0,78.0,51.0,82.0,47.0,29.0,2.0,63.0,0.0,59.0,160.0,6.0,23.0,27.0,0.0,41.0,11.0,11.0,3.0,5.0,119.0,22.0,20.0,9.0,0.0,18.0,7.0,18.0,0.0,10.0,10.0,17.0,10.0,66.0,1.0,163.0,14.0,20.0,86.0,2.0,27.0,1.0,118.0,77.0,11.0,23.0,12.0,12.0,12.0,0.0,4.0,0.0,7.0,18.0,3.0,9.0,7.0,1.0,13.0,8.0,5.0,1.0,13.0,3.0,1.0,4.0,35.0,9.0,4.0,29.0,2.0,14.0,21.0,2.0,4.0,0.0,20.0,16.0,0.0,1.0,0.0,0.0,57.0,18.0,65.0,12.0,38.0,2.0,9.0,5.0,6.0,0.0,19.0,46.0,1.0,2.0,3.0,28.0,9.0,9.0,4.0,5.0,5.0,0.0,0.0,30.0,4.0,0.0,6.0,16.0,0.0,0.0,2.0,0.0,6.0,4.0,15.0,0.0,1.0,20.0,7.0,5.0,215.0,47.0,0.0,0.0,29.0,1.0,1.0,28.0,0.0,14.0,99.0,98.0,8.0,2.0,9.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,36.0,11.0,2.0,0.0,2.0,2.0,5.0,2.0,0.0,13.0,27.0,4.0,9.0,4.0,3.0,10.0,8.0,2.0,3.0,0.0,1.0,1.0,10.0,10.0,2.0,49.0,19.0,2.0,1.0,2.0,0.0,31.0
지금,42.0,35.0,38.0,23.0,26.0,12.0,27.0,10.0,16.0,13.0,31.0,18.0,28.0,16.0,16.0,7.0,12.0,18.0,24.0,11.0,13.0,24.0,18.0,15.0,18.0,0.0,3.0,19.0,0.0,2.0,33.0,16.0,3.0,12.0,12.0,13.0,7.0,4.0,7.0,8.0,5.0,8.0,8.0,11.0,9.0,2.0,3.0,11.0,5.0,4.0,3.0,1.0,2.0,10.0,3.0,5.0,4.0,9.0,7.0,1.0,7.0,11.0,5.0,1.0,8.0,9.0,3.0,6.0,4.0,5.0,8.0,3.0,9.0,10.0,10.0,16.0,11.0,0.0,4.0,0.0,4.0,12.0,3.0,4.0,4.0,8.0,2.0,6.0,16.0,8.0,0.0,2.0,4.0,6.0,4.0,4.0,0.0,11.0,7.0,1.0,4.0,3.0,3.0,15.0,4.0,5.0,0.0,5.0,5.0,3.0,0.0,7.0,5.0,0.0,4.0,7.0,1.0,2.0,0.0,2.0,4.0,1.0,7.0,8.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,7.0,5.0,12.0,2.0,3.0,7.0,2.0,8.0,9.0,5.0,4.0,6.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,8.0,1.0,4.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,3.0,0.0,4.0,3.0,0.0,4.0,4.0,5.0,11.0,6.0,3.0,2.0
감사,18.0,45.0,23.0,31.0,55.0,22.0,14.0,7.0,1.0,79.0,35.0,8.0,32.0,28.0,6.0,8.0,13.0,10.0,11.0,5.0,15.0,4.0,25.0,8.0,7.0,3.0,0.0,17.0,41.0,40.0,5.0,23.0,17.0,7.0,8.0,10.0,0.0,8.0,6.0,0.0,8.0,4.0,7.0,4.0,3.0,4.0,7.0,3.0,6.0,17.0,6.0,2.0,2.0,11.0,0.0,41.0,4.0,3.0,8.0,48.0,6.0,4.0,21.0,46.0,10.0,1.0,4.0,15.0,6.0,5.0,0.0,0.0,4.0,2.0,8.0,3.0,5.0,12.0,0.0,20.0,6.0,3.0,0.0,1.0,8.0,4.0,5.0,2.0,0.0,4.0,15.0,1.0,7.0,2.0,19.0,76.0,0.0,2.0,6.0,2.0,2.0,7.0,6.0,3.0,8.0,1.0,2.0,5.0,13.0,5.0,8.0,2.0,4.0,0.0,9.0,0.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,3.0,2.0,0.0,5.0,6.0,1.0,20.0,8.0,51.0,1.0,2.0,2.0,0.0,15.0,19.0,1.0,2.0,4.0,2.0,3.0,0.0,1.0,1.0,8.0,10.0,2.0,9.0,0.0,8.0,2.0,1.0,7.0,4.0,2.0,3.0,0.0,1.0,6.0,1.0,6.0,1.0,2.0,0.0,1.0,6.0,3.0,1.0,3.0,1.0
나라,125.0,134.0,213.0,29.0,113.0,60.0,47.0,35.0,34.0,50.0,47.0,24.0,80.0,69.0,15.0,20.0,48.0,54.0,64.0,16.0,42.0,39.0,16.0,34.0,18.0,19.0,17.0,0.0,6.0,19.0,16.0,32.0,37.0,11.0,22.0,22.0,6.0,19.0,19.0,14.0,11.0,13.0,6.0,23.0,14.0,10.0,16.0,23.0,13.0,16.0,41.0,4.0,15.0,4.0,10.0,16.0,7.0,21.0,19.0,14.0,21.0,8.0,18.0,6.0,22.0,23.0,4.0,34.0,26.0,11.0,12.0,7.0,11.0,6.0,18.0,12.0,8.0,6.0,9.0,4.0,14.0,21.0,9.0,15.0,10.0,3.0,10.0,3.0,6.0,10.0,4.0,4.0,13.0,11.0,3.0,33.0,5.0,15.0,3.0,9.0,12.0,9.0,9.0,4.0,7.0,10.0,7.0,2.0,14.0,27.0,3.0,2.0,5.0,0.0,15.0,9.0,7.0,6.0,1.0,8.0,5.0,11.0,8.0,8.0,1.0,4.0,14.0,0.0,12.0,6.0,8.0,6.0,4.0,5.0,15.0,6.0,5.0,2.0,26.0,15.0,9.0,5.0,6.0,3.0,14.0,7.0,4.0,3.0,4.0,5.0,10.0,4.0,4.0,11.0,9.0,5.0,11.0,15.0,13.0,5.0,13.0,5.0,8.0,6.0,14.0,2.0,3.0,23.0,4.0,8.0,11.0,7.0,9.0,7.0,12.0,12.0
축하,53.0,46.0,100.0,3.0,47.0,31.0,16.0,10.0,33.0,10.0,19.0,18.0,8.0,42.0,51.0,4.0,20.0,5.0,12.0,12.0,16.0,7.0,17.0,18.0,0.0,0.0,41.0,6.0,0.0,26.0,8.0,9.0,58.0,28.0,8.0,26.0,3.0,47.0,3.0,0.0,1.0,0.0,9.0,1.0,12.0,3.0,69.0,0.0,8.0,42.0,5.0,32.0,16.0,3.0,0.0,6.0,0.0,6.0,3.0,18.0,4.0,3.0,9.0,297.0,27.0,3.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,7.0,89.0,0.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,87.0,0.0,2.0,4.0,54.0,16.0,6.0,0.0,6.0,0.0,2.0,63.0,59.0,3.0,17.0,5.0,0.0,0.0,5.0,0.0,74.0,2.0,1.0,0.0,4.0,3.0,0.0,11.0,187.0,0.0,0.0,4.0,0.0,0.0,118.0,0.0,5.0,187.0,6.0,2.0,17.0,1.0,0.0,2.0,1.0,56.0,0.0,1.0,0.0,0.0,5.0,8.0,0.0,36.0,12.0,1.0,0.0,2.0,0.0,0.0,28.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,0.0,5.0,0.0,16.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,3.0,6.0,9.0,1.0
오늘,43.0,61.0,25.0,20.0,40.0,19.0,20.0,25.0,22.0,23.0,22.0,15.0,16.0,72.0,25.0,4.0,24.0,11.0,17.0,21.0,19.0,32.0,8.0,37.0,10.0,2.0,40.0,19.0,26.0,0.0,5.0,21.0,16.0,17.0,7.0,11.0,4.0,10.0,2.0,7.0,2.0,3.0,9.0,8.0,5.0,8.0,39.0,3.0,38.0,8.0,18.0,9.0,7.0,1.0,0.0,8.0,2.0,10.0,7.0,94.0,16.0,5.0,6.0,9.0,9.0,20.0,5.0,8.0,7.0,2.0,8.0,0.0,4.0,3.0,3.0,8.0,4.0,7.0,2.0,17.0,2.0,6.0,6.0,5.0,6.0,7.0,6.0,4.0,8.0,2.0,11.0,0.0,4.0,2.0,5.0,33.0,2.0,8.0,2.0,3.0,6.0,29.0,30.0,5.0,1.0,5.0,7.0,0.0,8.0,7.0,16.0,7.0,9.0,0.0,13.0,10.0,3.0,4.0,1.0,0.0,1.0,3.0,2.0,3.0,6.0,4.0,13.0,1.0,3.0,7.0,11.0,2.0,0.0,3.0,0.0,19.0,5.0,2.0,2.0,8.0,8.0,3.0,0.0,4.0,5.0,2.0,1.0,9.0,1.0,0.0,4.0,8.0,3.0,5.0,5.0,7.0,6.0,4.0,5.0,6.0,13.0,0.0,0.0,0.0,10.0,1.0,2.0,7.0,27.0,2.0,0.0,2.0,1.0,1.0,5.0,1.0
시대,157.0,184.0,75.0,76.0,58.0,23.0,68.0,40.0,61.0,54.0,47.0,17.0,67.0,47.0,58.0,6.0,56.0,49.0,50.0,17.0,80.0,46.0,27.0,35.0,10.0,33.0,5.0,16.0,8.0,5.0,0.0,14.0,129.0,127.0,16.0,20.0,13.0,26.0,4.0,13.0,11.0,10.0,83.0,43.0,10.0,20.0,16.0,35.0,21.0,39.0,20.0,2.0,19.0,10.0,8.0,13.0,11.0,38.0,17.0,12.0,77.0,10.0,13.0,4.0,12.0,28.0,20.0,24.0,28.0,11.0,11.0,7.0,27.0,14.0,7.0,38.0,14.0,15.0,7.0,4.0,13.0,7.0,10.0,9.0,10.0,9.0,12.0,11.0,8.0,13.0,3.0,2.0,11.0,10.0,6.0,5.0,5.0,7.0,15.0,12.0,19.0,3.0,5.0,26.0,11.0,6.0,2.0,3.0,11.0,13.0,7.0,13.0,5.0,0.0,13.0,12.0,7.0,2.0,2.0,5.0,20.0,10.0,1.0,7.0,0.0,0.0,15.0,1.0,3.0,6.0,8.0,6.0,9.0,10.0,9.0,6.0,13.0,1.0,4.0,19.0,9.0,3.0,10.0,2.0,15.0,3.0,0.0,2.0,6.0,2.0,10.0,3.0,4.0,6.0,4.0,5.0,12.0,7.0,0.0,3.0,3.0,2.0,4.0,4.0,6.0,6.0,3.0,4.0,12.0,13.0,5.0,2.0,25.0,6.0,15.0,6.0
동포,52.0,55.0,123.0,115.0,140.0,44.0,29.0,84.0,4.0,82.0,212.0,39.0,33.0,73.0,10.0,96.0,35.0,39.0,10.0,84.0,11.0,62.0,84.0,33.0,17.0,16.0,23.0,32.0,9.0,21.0,14.0,0.0,20.0,22.0,68.0,4.0,81.0,7.0,5.0,22.0,27.0,7.0,9.0,11.0,10.0,55.0,42.0,35.0,11.0,1.0,38.0,9.0,39.0,10.0,0.0,19.0,0.0,9.0,12.0,18.0,5.0,8.0,8.0,9.0,0.0,8.0,21.0,23.0,40.0,41.0,20.0,29.0,8.0,8.0,23.0,0.0,14.0,14.0,0.0,2.0,2.0,5.0,4.0,17.0,1.0,14.0,3.0,31.0,36.0,26.0,32.0,70.0,73.0,1.0,3.0,13.0,1.0,3.0,31.0,9.0,0.0,17.0,18.0,0.0,12.0,2.0,7.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,5.0,13.0,8.0,0.0,4.0,9.0,19.0,5.0,1.0,9.0,25.0,40.0,5.0,4.0,8.0,0.0,5.0,17.0,2.0,2.0,9.0,6.0,3.0,3.0,6.0,3.0,1.0,10.0,1.0,6.0,37.0,16.0,10.0,1.0,3.0,8.0,17.0,6.0,0.0,19.0,12.0,15.0,4.0,8.0,43.0,1.0,15.0,26.0,2.0,1.0,1.0,1.0,0.0,0.0,13.0,2.0,3.0,2.0,1.0,18.0,10.0,4.0
행복,79.0,329.0,38.0,74.0,90.0,30.0,22.0,12.0,23.0,59.0,60.0,12.0,43.0,61.0,7.0,11.0,51.0,18.0,13.0,6.0,66.0,38.0,40.0,35.0,10.0,3.0,17.0,37.0,58.0,16.0,129.0,20.0,0.0,58.0,30.0,3.0,10.0,150.0,6.0,3.0,7.0,3.0,44.0,8.0,0.0,13.0,19.0,18.0,22.0,61.0,8.0,2.0,5.0,7.0,3.0,7.0,1.0,18.0,5.0,22.0,46.0,9.0,51.0,5.0,11.0,7.0,18.0,37.0,26.0,8.0,3.0,5.0,19.0,2.0,5.0,7.0,5.0,10.0,0.0,147.0,10.0,1.0,5.0,10.0,6.0,4.0,11.0,10.0,3.0,15.0,14.0,7.0,3.0,2.0,12.0,10.0,1.0,6.0,12.0,4.0,39.0,2.0,2.0,1.0,3.0,3.0,10.0,0.0,16.0,14.0,9.0,2.0,6.0,0.0,4.0,6.0,5.0,0.0,1.0,1.0,13.0,8.0,1.0,0.0,16.0,1.0,15.0,1.0,0.0,4.0,1.0,2.0,6.0,22.0,21.0,4.0,5.0,1.0,1.0,10.0,5.0,8.0,5.0,3.0,13.0,0.0,3.0,3.0,3.0,3.0,1.0,9.0,1.0,3.0,2.0,0.0,20.0,3.0,0.0,1.0,6.0,7.0,4.0,4.0,9.0,8.0,4.0,4.0,6.0,6.0,3.0,0.0,6.0,18.0,3.0,2.0
통일,54.0,139.0,60.0,71.0,35.0,39.0,0.0,49.0,8.0,57.0,36.0,1.0,20.0,39.0,6.0,5.0,24.0,14.0,0.0,5.0,349.0,41.0,14.0,34.0,66.0,12.0,7.0,11.0,28.0,17.0,127.0,22.0,58.0,0.0,5.0,26.0,5.0,57.0,5.0,6.0,11.0,1.0,268.0,16.0,4.0,7.0,24.0,29.0,19.0,8.0,46.0,0.0,3.0,3.0,2.0,11.0,2.0,16.0,8.0,15.0,21.0,0.0,6.0,14.0,2.0,5.0,59.0,31.0,15.0,12.0,2.0,5.0,83.0,1.0,7.0,1.0,11.0,20.0,0.0,15.0,4.0,0.0,15.0,8.0,33.0,11.0,25.0,10.0,13.0,17.0,19.0,0.0,10.0,6.0,14.0,9.0,1.0,6.0,23.0,3.0,17.0,7.0,5.0,0.0,0.0,12.0,5.0,0.0,16.0,27.0,0.0,0.0,5.0,0.0,4.0,10.0,12.0,0.0,12.0,1.0,19.0,5.0,14.0,12.0,19.0,0.0,38.0,6.0,0.0,32.0,0.0,1.0,15.0,24.0,8.0,9.0,11.0,2.0,0.0,18.0,24.0,0.0,7.0,20.0,67.0,17.0,1.0,12.0,4.0,0.0,9.0,0.0,0.0,4.0,15.0,5.0,18.0,3.0,1.0,7.0,5.0,8.0,0.0,2.0,4.0,5.0,16.0,13.0,10.0,36.0,8.0,2.0,0.0,1.0,2.0,2.0
교육,81.0,41.0,133.0,103.0,76.0,103.0,46.0,50.0,47.0,65.0,106.0,26.0,48.0,22.0,26.0,166.0,35.0,47.0,48.0,14.0,7.0,28.0,29.0,43.0,1.0,12.0,8.0,22.0,8.0,7.0,16.0,68.0,30.0,5.0,0.0,77.0,74.0,16.0,68.0,52.0,42.0,6.0,1.0,43.0,37.0,62.0,14.0,25.0,21.0,11.0,31.0,21.0,30.0,35.0,8.0,21.0,78.0,5.0,39.0,18.0,10.0,8.0,8.0,6.0,50.0,8.0,22.0,33.0,21.0,35.0,6.0,83.0,27.0,10.0,12.0,44.0,17.0,7.0,24.0,2.0,8.0,7.0,7.0,18.0,2.0,41.0,4.0,37.0,31.0,22.0,3.0,14.0,12.0,4.0,11.0,9.0,43.0,1.0,29.0,24.0,9.0,5.0,8.0,7.0,15.0,20.0,3.0,7.0,3.0,19.0,39.0,10.0,20.0,0.0,4.0,14.0,19.0,12.0,0.0,1.0,35.0,10.0,0.0,3.0,11.0,6.0,3.0,0.0,24.0,0.0,6.0,21.0,0.0,6.0,6.0,7.0,18.0,3.0,22.0,2.0,18.0,48.0,8.0,23.0,14.0,47.0,19.0,13.0,11.0,46.0,11.0,8.0,10.0,2.0,19.0,22.0,12.0,14.0,9.0,0.0,2.0,42.0,11.0,31.0,16.0,0.0,11.0,7.0,6.0,0.0,16.0,20.0,6.0,7.0,62.0,2.0
국제,48.0,28.0,116.0,49.0,74.0,70.0,17.0,99.0,18.0,57.0,319.0,7.0,38.0,41.0,7.0,63.0,13.0,29.0,35.0,6.0,74.0,19.0,12.0,8.0,163.0,13.0,10.0,22.0,26.0,11.0,20.0,4.0,3.0,26.0,77.0,0.0,20.0,11.0,72.0,15.0,48.0,13.0,39.0,41.0,5.0,27.0,13.0,25.0,18.0,19.0,6.0,5.0,36.0,19.0,11.0,11.0,6.0,4.0,26.0,9.0,7.0,2.0,9.0,17.0,35.0,12.0,20.0,35.0,17.0,27.0,20.0,27.0,11.0,5.0,12.0,2.0,19.0,16.0,2.0,3.0,8.0,11.0,28.0,26.0,32.0,11.0,14.0,16.0,6.0,10.0,22.0,3.0,6.0,55.0,0.0,2.0,24.0,10.0,15.0,6.0,25.0,17.0,15.0,0.0,13.0,28.0,10.0,6.0,3.0,5.0,29.0,2.0,10.0,1.0,4.0,9.0,27.0,0.0,18.0,8.0,12.0,7.0,31.0,7.0,39.0,2.0,13.0,16.0,17.0,17.0,20.0,9.0,30.0,10.0,8.0,2.0,11.0,3.0,12.0,5.0,9.0,0.0,6.0,45.0,3.0,5.0,2.0,1.0,8.0,10.0,33.0,0.0,0.0,5.0,17.0,21.0,7.0,18.0,7.0,0.0,5.0,12.0,5.0,5.0,19.0,2.0,10.0,7.0,6.0,9.0,14.0,14.0,4.0,1.0,9.0,23.0
확대,141.0,41.0,52.0,75.0,62.0,51.0,120.0,177.0,34.0,53.0,54.0,80.0,40.0,6.0,45.0,151.0,53.0,42.0,49.0,116.0,11.0,30.0,36.0,26.0,14.0,7.0,0.0,6.0,3.0,4.0,13.0,81.0,10.0,5.0,74.0,20.0,0.0,4.0,56.0,86.0,48.0,44.0,5.0,15.0,100.0,35.0,9.0,16.0,26.0,31.0,13.0,38.0,21.0,42.0,8.0,10.0,22.0,8.0,31.0,5.0,7.0,38.0,21.0,1.0,15.0,9.0,26.0,23.0,17.0,37.0,57.0,44.0,24.0,19.0,6.0,8.0,22.0,19.0,24.0,0.0,16.0,33.0,14.0,17.0,5.0,30.0,2.0,29.0,39.0,15.0,3.0,72.0,33.0,14.0,11.0,1.0,29.0,4.0,27.0,24.0,5.0,3.0,3.0,4.0,17.0,19.0,27.0,22.0,5.0,23.0,2.0,8.0,11.0,0.0,1.0,15.0,6.0,18.0,0.0,11.0,7.0,15.0,1.0,4.0,10.0,35.0,4.0,0.0,29.0,3.0,27.0,32.0,1.0,12.0,11.0,0.0,12.0,2.0,27.0,3.0,13.0,14.0,8.0,7.0,9.0,15.0,21.0,15.0,8.0,21.0,5.0,2.0,10.0,5.0,45.0,19.0,9.0,16.0,21.0,1.0,14.0,19.0,13.0,12.0,4.0,7.0,22.0,0.0,14.0,4.0,18.0,23.0,5.0,19.0,10.0,6.0
모두,44.0,95.0,38.0,35.0,50.0,13.0,14.0,22.0,19.0,28.0,33.0,16.0,17.0,40.0,11.0,7.0,10.0,16.0,5.0,19.0,38.0,15.0,18.0,19.0,20.0,4.0,8.0,19.0,47.0,10.0,26.0,7.0,150.0,57.0,16.0,11.0,4.0,0.0,6.0,5.0,8.0,7.0,24.0,11.0,5.0,3.0,6.0,8.0,15.0,8.0,9.0,3.0,6.0,2.0,2.0,6.0,8.0,22.0,2.0,15.0,20.0,4.0,12.0,4.0,3.0,4.0,5.0,10.0,6.0,5.0,13.0,3.0,9.0,4.0,10.0,7.0,6.0,15.0,1.0,131.0,6.0,4.0,3.0,8.0,5.0,4.0,9.0,7.0,11.0,7.0,18.0,1.0,4.0,3.0,5.0,7.0,2.0,7.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,22.0,11.0,8.0,1.0,4.0,1.0,8.0,3.0,2.0,0.0,2.0,0.0,3.0,5.0,5.0,6.0,12.0,0.0,8.0,1.0,0.0,5.0,4.0,1.0,2.0,17.0,11.0,1.0,2.0,1.0,1.0,9.0,0.0,1.0,2.0,5.0,13.0,4.0,1.0,6.0,2.0,1.0,0.0,4.0,1.0,8.0,1.0,2.0,7.0,3.0,1.0,7.0,8.0,2.0,1.0,4.0,6.0,2.0,2.0,6.0,4.0,10.0,2.0,3.0,7.0,7.0,2.0,5.0
